organization,sector,attack_type,breach_date,records_exposed,country
Org_0376,HEALTHCARE,MISCONFIGURATION,17-Apr-2023,813166,USA
Org_0311,Retail,phishing,12/13/2018,300371,Germany
Org_0021,Healthcare,Ransomware,2018-10-18,1970502,USA
Org_0583,retail,Ransomware,08-Dec-2024,1358585,Brazil
Org_0523,Healthcare,RANSOMWARE,2021-09-20,784178,Australia
Org_0218,TECHNOLOGY,Insider Threat,06/10/2019,33925,India
Org_0126,Technology,Phishing,28-Jul-2023,407211,Australia
Org_0234,Education,PHISHING,02-Jun-2022,417255,USA
Org_0166,Healthcare,Ransomware,28-Feb-2023,789287,Canada
Org_0469,Technology,Insider Threat,2023-12-31,155793,India
Org_0250,Retail,physical theft,11/26/2024,,USA
Org_0610,retail,Unpatched Vulnerability,"October 31, 2019",1606948,UK
Org_0224,Government,unpatched vulnerability,06/02/2023,2893059,India
Org_0569,TECHNOLOGY,Phishing,"September 24, 2024",46711,Germany
Org_0033,Technology,  Unpatched Vulnerability  ,16-Apr-2020,1021121,India
Org_0104,government,Insider Threat,"May 31, 2018",23184,Canada
Org_0387,finance,  Misconfiguration  ,29-May-2022,677015,Brazil
Org_0103,Healthcare,  Insider Threat  ,03/05/2019,86556,Australia
Org_0343,Healthcare,Phishing,09-May-2020,451937,UK
Org_0380,Retail,  Malware  ,2023-02-14,387839,Canada
Org_0613,Government,Malware,09-Feb-2020,21337,Germany
Org_0504,Retail,Unpatched Vulnerability,"December 18, 2025",2847982,Australia
Org_0402,Government,Misconfiguration,2019-10-16,529793,UK
Org_0007,Technology,Ransomware,08-Jul-2025,648967,UK
Org_0508,Technology,misconfiguration,"April 17, 2024",508273,Australia
Org_0209,Healthcare,Physical Theft,"March 04, 2022",5088,India
Org_0016,technology,Physical Theft,19-Sep-2019,10637,UK
Org_0620,Healthcare,Unpatched Vulnerability,26-May-2023,853507,India
Org_0098,Retail,PHISHING,13-Jun-2021,230742,Brazil
Org_0083,healthcare,Insider Threat,"September 11, 2020",169419,Brazil
Org_0070,government,Malware,06-Feb-2023,354894,UK
Org_0242,TECHNOLOGY,Phishing,"September 13, 2019",362521,Germany
Org_0251,education,RANSOMWARE,"September 14, 2021",893431,Germany
Org_0198,Technology,Misconfiguration,09/23/2021,102978,Brazil
Org_0530,Education,Unpatched Vulnerability,10-May-2020,908089,India
Org_0486,Technology,Ransomware,2024-11-15,147684,Canada
Org_0191,Retail,Insider Threat,"November 29, 2025",117698,UK
Org_0332,education,malware,"December 10, 2020",554349,USA
Org_0364,TECHNOLOGY,Misconfiguration,2022-04-30,515585,Germany
Org_0240,Technology,Misconfiguration,"July 30, 2018",367589,UK
Org_0551,Finance,Physical Theft,2020-09-25,8431,USA
Org_0640,Government,Malware,"March 03, 2022",665001,India
Org_0257,  Healthcare  ,Physical Theft,2020-02-02,48324,India
Org_0584,Healthcare,Physical Theft,2024-11-19,35536,Germany
Org_0244,Retail,Insider Threat,"December 11, 2019",139856,India
Org_0399,GOVERNMENT,Ransomware,11/24/2023,4610522,Brazil
Org_0635,Technology,Insider Threat,2025-12-11,161825,Brazil
Org_0563,Technology,Unpatched Vulnerability,"January 30, 2018",2765365,Canada
Org_0183,EDUCATION,insider threat,10/08/2025,189153,UK
Org_0485,Education,Physical Theft,06/03/2025,31633,Germany
Org_0614,EDUCATION,phishing,2022-12-01,122559,UK
Org_0475,Finance,  Insider Threat  ,2018-02-22,29048,USA
Org_0599,retail,Malware,"December 31, 2020",285424,Australia
Org_0305,Finance,Malware,"September 05, 2024",,Canada
Org_0118,Government,Phishing,29-Jan-2025,119768,UK
Org_0483,Technology,Physical Theft,"June 02, 2023",7451,UK
Org_0590,government,Physical Theft,29-Jun-2022,29588,India
Org_0310,Education,PHISHING,2024-03-20,313460,India
Org_0136,Technology,Physical Theft,08/02/2024,27239,Germany
Org_0315,Government,Malware,04/20/2025,316029,Germany
Org_0313,Retail,Insider Threat,10/27/2020,189079,India
Org_0390,HEALTHCARE,Misconfiguration,2025-11-26,460931,Brazil
Org_0013,Technology,Phishing,02-Apr-2023,290549,Canada
Org_0094,Healthcare,Ransomware,2025-05-29,1367490,India
Org_0067,Government,Physical Theft,"June 22, 2020",14430,Canada
Org_0587,Healthcare,Insider Threat,"December 17, 2019",31653,Brazil
Org_0096,Retail,Physical Theft,09/16/2025,17387,USA
Org_0398,Education,physical theft,"March 05, 2024",4046,Germany
Org_0077,Retail,Physical Theft,06-Apr-2025,879,Canada
Org_0538,healthcare,UNPATCHED VULNERABILITY,07/28/2019,1124086,India
Org_0378,Government,malware,30-May-2024,126200,USA
Org_0477,retail,PHISHING,11-Jun-2018,189356,UK
Org_0326,Government,PHISHING,04-Aug-2019,164020,Australia
Org_0457,retail,  Misconfiguration  ,19-Sep-2021,556432,Brazil
Org_0420,technology,insider threat,09/18/2021,49903,USA
Org_0478,Retail,PHISHING,2018-07-07,447192,Brazil
Org_0381,Education,Physical Theft,"February 17, 2022",12857,Germany
Org_0226,  Finance  ,  Physical Theft  ,"November 15, 2021",8619,Brazil
Org_0541,Finance,Unpatched Vulnerability,"July 03, 2019",2121862,India
Org_0210,Education,Malware,2019-04-10,772411,UK
Org_0442,Healthcare,physical theft,"March 17, 2023",41692,India
Org_0525,Technology,MALWARE,2019-04-30,673580,Australia
Org_0498,EDUCATION,INSIDER THREAT,"July 18, 2018",153485,Australia
Org_0450,education,PHYSICAL THEFT,09-Oct-2021,42032,USA
Org_0163,Healthcare,insider threat,12/22/2023,131240,Germany
Org_0156,technology,ransomware,19-Jun-2021,,Brazil
Org_0015,Finance,Physical Theft,08/13/2023,33321,India
Org_0372,Finance,Ransomware,13-Nov-2023,1450586,India
Org_0628,education,unpatched vulnerability,14-Dec-2020,,India
Org_0516,education,Unpatched Vulnerability,12/02/2021,914870,USA
Org_0188,healthcare,misconfiguration,10/04/2023,1752831,Germany
Org_0121,Government,misconfiguration,"November 20, 2018",1309626,UK
Org_0069,Education,Insider Threat,2018-04-22,168592,Australia
Org_0325,Government,Unpatched Vulnerability,2021-11-13,2044888,UK
Org_0161,Retail,Unpatched Vulnerability,2021-06-17,944921,Australia
Org_0148,Education,Malware,14-Dec-2023,476755,Canada
Org_0646,TECHNOLOGY,Malware,2023-06-23,625145,UK
Org_0296,Technology,Misconfiguration,2019-03-15,1109715,UK
Org_0316,technology,malware,31-Jul-2021,771571,Germany
Org_0524,Finance,UNPATCHED VULNERABILITY,21-Jul-2020,1729735,Brazil
Org_0207,Government,Misconfiguration,05/08/2018,1789788,UK
Org_0141,  Finance  ,Ransomware,12-Jan-2018,1263730,Canada
Org_0211,Education,UNPATCHED VULNERABILITY,"December 02, 2020",919973,Brazil
Org_0134,TECHNOLOGY,Misconfiguration,"May 22, 2021",254687,Australia
Org_0459,EDUCATION,Physical Theft,2022-08-20,9931,India
Org_0337,RETAIL,Malware,08-Aug-2018,11048,Canada
Org_0319,Finance,Malware,"August 03, 2022",146939,USA
Org_0436,Technology,Phishing,09/29/2025,26342,India
Org_0156,technology,ransomware,19-Jun-2021,,Brazil
Org_0246,finance,malware,03/29/2021,724769,India
Org_0427,Retail,Insider Threat,2020-07-20,101577,Canada
Org_0232,Finance,Physical Theft,2022-02-07,,Germany
Org_0533,Retail,MALWARE,"July 06, 2024",347922,Australia
Org_0391,RETAIL,physical theft,2022-06-12,44429,India
Org_0089,Healthcare,Physical Theft,2023-07-04,853,Australia
Org_0140,Finance,Misconfiguration,03/20/2024,1239734,USA
Org_0557,Finance,Unpatched Vulnerability,2019-09-05,764162,Brazil
Org_0349,Retail,Malware,2021-09-02,769316,Germany
Org_0155,RETAIL,Malware,2022-10-24,639577,Brazil
Org_0230,HEALTHCARE,Insider Threat,31-May-2020,,UK
Org_0286,Education,Insider Threat,10-Aug-2021,99888,Canada
Org_0030,Finance,Unpatched Vulnerability,2021-07-08,230312,USA
Org_0396,healthcare,Unpatched Vulnerability,"June 06, 2022",143657,Australia
Org_0263,government,Physical Theft,"August 31, 2022",49683,India
Org_0063,finance,Phishing,17-Jan-2021,168119,UK
Org_0282,Healthcare,Insider Threat,05/10/2022,66945,UK
Org_0135,  Healthcare  ,INSIDER THREAT,01/11/2024,101981,UK
Org_0241,Technology,Misconfiguration,08/20/2025,76208,Brazil
Org_0309,Retail,misconfiguration,12/24/2018,913829,UK
Org_0363,Healthcare,Physical Theft,10/22/2023,49060,UK
Org_0360,Government,Ransomware,"August 14, 2022",1872380,UK
Org_0355,technology,Insider Threat,11/04/2025,112620,Australia
Org_0597,Technology,Misconfiguration,10-Apr-2022,982558,USA
Org_0160,Government,insider threat,2023-09-30,90584,Brazil
Org_0402,Government,Misconfiguration,2019-10-16,529793,UK
Org_0501,Retail,Insider Threat,18-Aug-2022,183992,UK
Org_0341,Education,Malware,"June 20, 2018",573892,Brazil
Org_0612,Education,insider threat,01/18/2020,76015,USA
Org_0542,Government,Phishing,11/20/2024,397494,Brazil
Org_0253,  Retail  ,PHYSICAL THEFT,01/02/2019,35121,Brazil
Org_0040,RETAIL,Malware,12/08/2020,778236,Australia
Org_0022,Healthcare,Phishing,"July 03, 2025",112821,India
Org_0468,Technology,Ransomware,08/29/2023,1083157,Canada
Org_0512,TECHNOLOGY,Ransomware,2022-03-26,3644584,USA
Org_0203,  Government  ,Ransomware,13-Feb-2022,742995,Germany
Org_0190,Government,malware,10-Feb-2019,154143,India
Org_0090,Government,malware,"October 31, 2020",120629,USA
Org_0544,government,Malware,07/01/2025,544042,USA
Org_0496,FINANCE,Misconfiguration,20-Feb-2020,236001,Germany
Org_0323,Technology,Physical Theft,"March 27, 2025",49377,Canada
Org_0101,Education,Phishing,2021-01-08,400588,Australia
Org_0520,Retail,Unpatched Vulnerability,04/29/2021,1363489,USA
Org_0389,Government,INSIDER THREAT,"April 30, 2020",80921,India
Org_0236,HEALTHCARE,Malware,02/15/2023,636710,Canada
Org_0395,Finance,Insider Threat,2021-09-20,11292,USA
Org_0299,Government,Phishing,2019-12-03,262569,Australia
Org_0019,education,Unpatched Vulnerability,05/17/2020,1327432,Germany
Org_0110,Finance,Ransomware,09/13/2023,635609,Canada
Org_0368,Government,INSIDER THREAT,01/12/2024,72836,Canada
Org_0588,  Government  ,PHISHING,2022-04-04,171122,UK
Org_0397,government,Ransomware,"February 20, 2021",,India
Org_0068,GOVERNMENT,Malware,07/15/2022,491094,Brazil
Org_0008,Finance,ransomware,01/10/2021,2770280,Germany
Org_0476,Technology,Phishing,19-Feb-2019,338318,USA
Org_0054,Finance,Malware,02-Jan-2018,301850,Brazil
Org_0277,Finance,Physical Theft,15-Sep-2024,15575,Canada
Org_0205,  Retail  ,Unpatched Vulnerability,"September 26, 2025",1494494,UK
Org_0290,Government,Ransomware,06-Sep-2025,2208613,Australia
Org_0061,Technology,Unpatched Vulnerability,"December 18, 2022",2317941,Brazil
Org_0174,Technology,Insider Threat,04/23/2025,84386,Canada
Org_0261,technology,PHYSICAL THEFT,"October 17, 2019",45012,India
Org_0044,Finance,misconfiguration,04/12/2018,1554687,Germany
Org_0539,TECHNOLOGY,Phishing,2023-09-09,426558,Brazil
Org_0385,Finance,Unpatched Vulnerability,2023-02-21,2455928,India
Org_0018,Finance,PHISHING,10/11/2018,67814,Germany
Org_0144,Healthcare,Misconfiguration,"March 23, 2019",1066626,Canada
Org_0494,  Healthcare  ,Misconfiguration,10-Apr-2021,1482402,Brazil
Org_0050,Healthcare,unpatched vulnerability,"December 13, 2025",27093,USA
Org_0264,Technology,misconfiguration,2024-09-06,1112067,Brazil
Org_0535,Education,Physical Theft,10-May-2024,20781,Canada
Org_0559,Education,Phishing,"August 11, 2025",274201,Brazil
Org_0208,GOVERNMENT,phishing,09-Feb-2022,201225,Australia
Org_0216,Retail,UNPATCHED VULNERABILITY,27-Sep-2018,1690003,USA
Org_0550,Healthcare,Insider Threat,"April 10, 2019",177107,Australia
Org_0214,education,Malware,12/16/2025,380052,Australia
Org_0339,Government,Phishing,22-Jun-2020,17641,Brazil
Org_0023,Technology,Unpatched Vulnerability,"April 22, 2023",818637,UK
Org_0482,Government,Physical Theft,05-Apr-2022,,Canada
Org_0460,  Finance  ,Unpatched Vulnerability,10-Aug-2019,776471,Germany
Org_0632,finance,phishing,2020-02-24,17181,Germany
Org_0113,Education,Malware,"September 05, 2020",245907,Australia
Org_0351,Finance,Malware,02/20/2024,594643,India
Org_0014,Healthcare,Phishing,28-Dec-2020,58985,Canada
Org_0294,healthcare,Insider Threat,"February 25, 2025",172927,Canada
Org_0151,Retail,Ransomware,2018-10-02,766088,Germany
Org_0649,GOVERNMENT,UNPATCHED VULNERABILITY,05/02/2024,1390831,Canada
Org_0055,Education,Malware,07/30/2025,537004,Germany
Org_0642,Government,Phishing,2024-09-06,271876,India
Org_0084,Government,phishing,10/04/2025,161040,Germany
Org_0159,healthcare,Misconfiguration,01-Dec-2018,939275,Australia
Org_0382,Education,ransomware,04/08/2018,4592810,Germany
Org_0204,Healthcare,misconfiguration,2021-08-08,177916,India
Org_0239,Government,Misconfiguration,2025-09-19,1261810,Brazil
Org_0045,Government,Misconfiguration,12/28/2020,1661244,UK
Org_0451,retail,Physical Theft,05/08/2021,9875,Australia
Org_0149,GOVERNMENT,PHYSICAL THEFT,04/20/2025,28235,Australia
Org_0452,Finance,Misconfiguration,"September 23, 2024",1395232,Brazil
Org_0358,GOVERNMENT,MISCONFIGURATION,14-Feb-2022,297580,India
Org_0173,HEALTHCARE,misconfiguration,"January 05, 2019",980376,Australia
Org_0312,Technology,ransomware,07/13/2023,580723,India
Org_0024,Technology,Insider Threat,2018-08-10,15989,Brazil
Org_0608,Education,MISCONFIGURATION,2023-04-06,1452358,India
Org_0352,Retail,MISCONFIGURATION,"January 08, 2025",44144,USA
Org_0328,Healthcare,PHISHING,2025-04-08,355516,India
Org_0195,Education,Unpatched Vulnerability,2025-06-30,2215653,Australia
Org_0356,TECHNOLOGY,Ransomware,08/28/2024,4407414,UK
Org_0374,healthcare,Unpatched Vulnerability,08-Feb-2023,252528,Germany
Org_0433,Education,Misconfiguration,09/05/2019,1198233,Germany
Org_0423,Technology,insider threat,04/27/2020,167397,USA
Org_0115,Technology,Insider Threat,20-Aug-2023,26409,UK
Org_0091,Government,Unpatched Vulnerability,09/14/2019,2380720,USA
Org_0589,retail,malware,16-Nov-2024,384699,Germany
Org_0331,Government,physical theft,2025-11-22,37887,India
Org_0440,Healthcare,RANSOMWARE,"September 07, 2023",1187913,Australia
Org_0272,healthcare,Unpatched Vulnerability,2020-07-01,115358,UK
Org_0073,finance,Phishing,"June 02, 2019",351489,UK
Org_0248,Education,Insider Threat,23-Aug-2019,11127,Brazil
Org_0252,FINANCE,Unpatched Vulnerability,"July 25, 2022",2022564,UK
Org_0536,FINANCE,Ransomware,"March 09, 2025",2370958,Australia
Org_0630,TECHNOLOGY,Unpatched Vulnerability,"November 17, 2023",2333023,UK
Org_0574,education,Phishing,05-Jan-2019,381205,USA
Org_0200,Healthcare,INSIDER THREAT,06/29/2018,11085,UK
Org_0585,Government,Malware,"January 30, 2021",192755,Canada
Org_0404,finance,  Unpatched Vulnerability  ,28-Oct-2025,,Australia
Org_0499,Education,Ransomware,2019-06-10,3299793,UK
Org_0202,Healthcare,malware,"February 16, 2022",420453,Brazil
Org_0572,Education,physical theft,2025-07-23,23625,UK
Org_0492,Retail,Phishing,05-Feb-2023,294180,Brazil
Org_0138,RETAIL,Physical Theft,2022-01-09,26142,Australia
Org_0133,Technology,Phishing,13-Apr-2018,480357,Germany
Org_0444,retail,Malware,06-Jan-2019,29783,Australia
Org_0513,RETAIL,Unpatched Vulnerability,"September 15, 2021",2996652,USA
Org_0585,Government,Malware,"January 30, 2021",192755,Canada
Org_0087,technology,Ransomware,11-Aug-2024,893274,India
Org_0268,Retail,insider threat,2020-06-11,11972,USA
Org_0408,Technology,MISCONFIGURATION,2022-02-03,793476,Canada
Org_0561,Technology,Misconfiguration,10/09/2022,543762,USA
